69,zp31l0232ms1004,4U CC Whitley,1492,Online,GDC,Whitley,Wilson City,Ice Lake,IPU
70,zp31l0232ms1005,4U CC Whitley,1493,Online,GDC,Whitley,Wilson City,Ice Lake,SSE
71,zp31l0232ms1101,4U CC Whitley,1476,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
72,zp31l0232ms1102,4U CC Whitley,1477,Online,GDC,Whitley,Wilson City,Ice Lake,TBD
73,zp31l0232ms1103,4U CC Whitley,1585,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
74,zp31l0232ms1104,4U CC Whitley,1479,Online,GDC,Whitley,Wilson City,Ice Lake,PAIV
75,zp31l0232ms1105,4U CC Whitley,1250,Online,GDC,Whitley,Wilson City,Ice Lake,CESG
76,zp31l0232ms1201,4U CC Whitley,1471,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
77,zp31l0232ms1202,4U CC Whitley,1472,Online,GDC,Whitley,Wilson City,Ice Lake,Server Security Technology
78,zp31l0232ms1203,4U CC Whitley,1582,Online,GDC,Whitley,Wilson City,Ice Lake,TBD
79,zp31l0232ms1204,4U CC Whitley,1474,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
80,zp31l0232ms1205,4U CC Whitley,1475,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
81,zp31l0232ms1301,4U CC Whitley,1256,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
82,zp31l0232ms1302,4U CC Whitley,1590,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
83,zp31l0232ms1303,4U CC Whitley,1581,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
84,zp31l0232ms1304,4U CC Whitley,1716,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
85,zp31l0232ms1305,4U CC Whitley,1714,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
86,zp31l0232ms1401,4U CC Whitley,1591,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
87,zp31l0232ms1402,4U CC Whitley,1246,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
88,zp31l0232ms1403,4U CC Whitley,1458,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
89,zp31l0232ms1404,4U CC Whitley,1580,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
90,zp31l0232ms1405,4U CC Whitley,1460,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
91,zp31l0232ms1501,4U CC Whitley,1586,Online,GDC,Whitley,Wilson City,Ice Lake,DCPAE
92,zp31l0232ms1502,4U CC Whitley,1567,Online,GDC,Whitley,Wilson City,Ice Lake,PAIV
93,zp31l0232ms1503,4U CC Whitley,1589,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
94,zp31l0232ms1504,4U CC Whitley,1572,Online,GDC,Whitley,Wilson City,Ice Lake,TBD
95,zp31l0232ms1505,4U CC Whitley,1573,Online,GDC,Whitley,Wilson City,Ice Lake,TBD
96,zp31l0232ms1601,4U CC Whitley,1417,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
97,zp31l0232ms1602,4U CC Whitley,1418,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
98,zp31l0232ms1603,4U CC Whitley,1419,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
99,zp31l0232ms1604,4U CC Whitley,1420,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
100,zp31l0232ms1605,4U CC Whitley,1421,online,GDC,Whitley,Wilson City,Ice Lake,Seamless
101,r001s001.zp31l10c01,4U CC EGS,4162,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,BKC
102,r001s002.zp31l10c01,4U CC EGS,4163,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
103,r001s003.zp31l10c01,4U CC EGS,4164,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
104,r001s004.zp31l10c01,4U CC EGS,4165,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,WSF validation
105,r001s005.zp31l10c01,4U CC EGS,4144,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
106,r001s006.zp31l10c01,4U CC EGS,4166,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,BKC
107,r001s007.zp31l10c01,4U CC EGS,4167,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
108,r002s001.zp31l10c01,4U CC EGS,4168,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,VEI
109,r002s002.zp31l10c01,4U CC EGS,4169,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_BKC
110,r002s003.zp31l10c01,4U CC EGS,4170,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_BKC
111,r002s004.zp31l10c01,4U CC EGS,4171,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
112,r002s005.zp31l10c01,4U CC EGS,4172,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,VCE
113,r002s006.zp31l10c01,4U CC EGS,4173,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,PnP
